time,flowcount
"22/10/2024, 15:26:28",8256
"22/10/2024, 15:26:31",8316
"22/10/2024, 15:26:35",8376
"22/10/2024, 15:26:38",8436
"22/10/2024, 15:26:40",8496
"22/10/2024, 15:26:44",8656
"22/10/2024, 15:26:47",8952
"22/10/2024, 15:26:50",9246
"22/10/2024, 15:26:53",9503
"22/10/2024, 15:26:56",9654
"22/10/2024, 15:26:59",9850
"22/10/2024, 15:27:10",10047
"22/10/2024, 15:27:22",10243
"22/10/2024, 15:27:08",10440
"22/10/2024, 15:27:10",10551
"22/10/2024, 15:27:14",10699
"22/10/2024, 15:27:18",10847
"22/10/2024, 15:27:21",10889
"22/10/2024, 15:27:24",10997
time,flowcount
"22/10/2024, 15:28:26",7
"22/10/2024, 15:28:29",13
"22/10/2024, 15:28:32",17
"22/10/2024, 15:28:35",27
"22/10/2024, 15:28:38",31
"22/10/2024, 15:28:41",37
"22/10/2024, 15:28:44",41
"22/10/2024, 15:28:47",41
"22/10/2024, 15:28:50",49
"22/10/2024, 15:28:53",55
"22/10/2024, 15:28:56",55
"22/10/2024, 15:28:59",61
"22/10/2024, 15:29:10",63
"22/10/2024, 15:29:22",67
"22/10/2024, 15:29:08",67
"22/10/2024, 15:29:10",71
"22/10/2024, 15:29:14",71
"22/10/2024, 15:29:17",75
"22/10/2024, 15:29:20",75
"22/10/2024, 15:29:23",77
"22/10/2024, 15:29:26",79
"22/10/2024, 15:29:29",81
"22/10/2024, 15:29:32",81
"22/10/2024, 15:29:35",81
"22/10/2024, 15:29:38",83
"22/10/2024, 15:29:41",85
"22/10/2024, 15:29:44",85
"22/10/2024, 15:29:47",87
"22/10/2024, 15:29:50",87
"22/10/2024, 15:29:53",87
"22/10/2024, 15:29:56",89
"22/10/2024, 15:29:59",89
"22/10/2024, 15:30:10",89
"22/10/2024, 15:30:22",89
"22/10/2024, 15:30:08",91
"22/10/2024, 15:30:10",91
"22/10/2024, 15:30:14",91
"22/10/2024, 15:30:17",91
"22/10/2024, 15:30:20",91
"22/10/2024, 15:30:23",91
"22/10/2024, 15:30:26",91
"22/10/2024, 15:30:29",91
"22/10/2024, 15:30:32",91
"22/10/2024, 15:30:35",91
"22/10/2024, 15:30:38",91
"22/10/2024, 15:30:41",91
"22/10/2024, 15:30:44",91
"22/10/2024, 15:30:47",91
"22/10/2024, 15:30:50",91
"22/10/2024, 15:30:53",91
"22/10/2024, 15:30:56",91
"22/10/2024, 15:30:59",91
"22/10/2024, 15:31:10",91
"22/10/2024, 15:31:22",91
"22/10/2024, 15:31:08",91
"22/10/2024, 15:31:10",91
"22/10/2024, 15:31:14",91
"22/10/2024, 15:31:17",91
"22/10/2024, 15:31:20",91
"22/10/2024, 15:31:23",91
"22/10/2024, 15:31:26",91
"22/10/2024, 15:31:29",91
"22/10/2024, 15:31:32",91
"22/10/2024, 15:31:35",91
"22/10/2024, 15:31:38",91
"22/10/2024, 15:31:41",91
"22/10/2024, 15:31:44",91
"22/10/2024, 15:31:47",91
"22/10/2024, 15:31:50",91
"22/10/2024, 15:31:53",91
"22/10/2024, 15:31:56",91
"22/10/2024, 15:31:59",91
"22/10/2024, 15:32:10",91
"22/10/2024, 15:32:22",91
"22/10/2024, 15:32:08",91
"22/10/2024, 15:32:10",91
"22/10/2024, 15:32:14",91
"22/10/2024, 15:32:17",91
"22/10/2024, 15:32:20",91
"22/10/2024, 15:32:23",91
"22/10/2024, 15:32:26",91
"22/10/2024, 15:32:29",91
"22/10/2024, 15:32:32",91
"22/10/2024, 15:32:35",91
"22/10/2024, 15:32:38",91
"22/10/2024, 15:32:41",91
"22/10/2024, 15:32:44",91
"22/10/2024, 15:32:47",91
"22/10/2024, 15:32:50",91
"22/10/2024, 15:32:53",91
"22/10/2024, 15:32:56",91
"22/10/2024, 15:32:59",91
"22/10/2024, 15:33:10",91
"22/10/2024, 15:33:22",91
"22/10/2024, 15:33:08",91
"22/10/2024, 15:33:10",91
"22/10/2024, 15:33:14",91
"22/10/2024, 15:33:17",91
"22/10/2024, 15:33:20",91
"22/10/2024, 15:33:23",91
"22/10/2024, 15:33:26",91
time,flowcount
"22/10/2024, 15:34:43",208
"22/10/2024, 15:34:46",209
"22/10/2024, 15:34:49",209
"22/10/2024, 15:34:52",209
"22/10/2024, 15:34:55",209
"22/10/2024, 15:34:58",209
"22/10/2024, 15:35:01",209
"22/10/2024, 15:35:22",209
"22/10/2024, 15:35:07",209
"22/10/2024, 15:35:10",209
"22/10/2024, 15:35:13",209
"22/10/2024, 15:35:10",209
"22/10/2024, 15:35:19",209
"22/10/2024, 15:35:22",209
"22/10/2024, 15:35:25",209
"22/10/2024, 15:35:28",209
"22/10/2024, 15:35:31",209
"22/10/2024, 15:35:34",209
"22/10/2024, 15:35:37",209
"22/10/2024, 15:35:40",209
"22/10/2024, 15:35:43",209
"22/10/2024, 15:35:46",209
"22/10/2024, 15:35:49",209
"22/10/2024, 15:35:52",209
"22/10/2024, 15:35:55",209
"22/10/2024, 15:35:58",209
"22/10/2024, 15:36:01",209
"22/10/2024, 15:36:22",209
"22/10/2024, 15:36:07",209
"22/10/2024, 15:36:10",209
"22/10/2024, 15:36:13",209
"22/10/2024, 15:36:10",209
"22/10/2024, 15:36:19",209
"22/10/2024, 15:36:22",209
"22/10/2024, 15:36:25",209
"22/10/2024, 15:36:28",209
"22/10/2024, 15:36:31",209
"22/10/2024, 15:36:34",209
"22/10/2024, 15:36:37",209
"22/10/2024, 15:36:40",209
"22/10/2024, 15:36:43",209
"22/10/2024, 15:36:46",209
"22/10/2024, 15:36:49",209
"22/10/2024, 15:36:52",209
"22/10/2024, 15:36:55",209
"22/10/2024, 15:36:58",209
"22/10/2024, 15:37:01",209
"22/10/2024, 15:37:22",209
"22/10/2024, 15:37:07",209
"22/10/2024, 15:37:10",209
"22/10/2024, 15:37:13",209
"22/10/2024, 15:37:10",209
"22/10/2024, 15:37:19",209
"22/10/2024, 15:37:22",209
"22/10/2024, 15:37:25",209
"22/10/2024, 15:37:28",209
"22/10/2024, 15:37:31",209
"22/10/2024, 15:37:34",209
"22/10/2024, 15:37:37",209
"22/10/2024, 15:37:40",209
"22/10/2024, 15:37:43",209
"22/10/2024, 15:37:46",209
"22/10/2024, 15:37:49",209
"22/10/2024, 15:37:52",209
"22/10/2024, 15:37:55",209
"22/10/2024, 15:37:58",209
"22/10/2024, 15:38:01",209
"22/10/2024, 15:38:22",209
"22/10/2024, 15:38:07",209
"22/10/2024, 15:38:10",209
"22/10/2024, 15:38:13",209
"22/10/2024, 15:38:10",209
"22/10/2024, 15:38:19",209
"22/10/2024, 15:38:22",209
"22/10/2024, 15:38:25",209
"22/10/2024, 15:38:28",209
"22/10/2024, 15:38:31",209
"22/10/2024, 15:38:34",209
"22/10/2024, 15:38:37",209
"22/10/2024, 15:38:40",209
"22/10/2024, 15:38:43",209
"22/10/2024, 15:38:46",209
"22/10/2024, 15:38:49",209
"22/10/2024, 15:38:52",209
"22/10/2024, 15:38:55",209
"22/10/2024, 15:38:58",209
"22/10/2024, 15:39:01",209
"22/10/2024, 15:39:22",209
"22/10/2024, 15:39:07",209
"22/10/2024, 15:39:10",209
"22/10/2024, 15:39:13",209
"22/10/2024, 15:39:10",209
"22/10/2024, 15:39:19",209
"22/10/2024, 15:39:22",209
"22/10/2024, 15:39:25",209
"22/10/2024, 15:39:28",209
"22/10/2024, 15:39:31",209
"22/10/2024, 15:39:34",209
"22/10/2024, 15:39:37",209
"22/10/2024, 15:39:40",209
time,flowcount
"22/10/2024, 23:19:13",5
"22/10/2024, 23:19:10",9
"22/10/2024, 23:19:19",10
"22/10/2024, 23:19:22",15
"22/10/2024, 23:19:25",19
"22/10/2024, 23:19:28",25
"22/10/2024, 23:19:31",29
"22/10/2024, 23:19:34",39
"22/10/2024, 23:19:37",43
"22/10/2024, 23:19:40",45
"22/10/2024, 23:19:43",49
"22/10/2024, 23:19:46",53
"22/10/2024, 23:19:49",57
"22/10/2024, 23:19:52",57
"22/10/2024, 23:19:55",59
"22/10/2024, 23:19:58",65
"22/10/2024, 23:20:01",67
"22/10/2024, 23:20:22",69
"22/10/2024, 23:20:07",71
"22/10/2024, 23:20:10",73
"22/10/2024, 23:20:13",75
"22/10/2024, 23:20:10",79
"22/10/2024, 23:20:19",81
"22/10/2024, 23:20:22",81
"22/10/2024, 23:20:25",83
"22/10/2024, 23:20:28",83
"22/10/2024, 23:20:31",85
"22/10/2024, 23:20:34",85
"22/10/2024, 23:20:37",89
"22/10/2024, 23:20:40",91
"22/10/2024, 23:20:43",91
"22/10/2024, 23:20:46",91
"22/10/2024, 23:20:49",91
"22/10/2024, 23:20:52",91
"22/10/2024, 23:20:55",91
"22/10/2024, 23:20:58",91
"22/10/2024, 23:21:01",91
"22/10/2024, 23:21:22",91
"22/10/2024, 23:21:07",91
"22/10/2024, 23:21:10",91
"22/10/2024, 23:21:13",91
"22/10/2024, 23:21:10",91
"22/10/2024, 23:21:19",91
"22/10/2024, 23:21:22",91
"22/10/2024, 23:21:25",91
"22/10/2024, 23:21:28",91
"22/10/2024, 23:21:31",91
"22/10/2024, 23:21:34",91
"22/10/2024, 23:21:37",91
"22/10/2024, 23:21:40",91
"22/10/2024, 23:21:43",91
"22/10/2024, 23:21:46",91
"22/10/2024, 23:21:49",91
"22/10/2024, 23:21:52",91
"22/10/2024, 23:21:55",91
"22/10/2024, 23:21:58",91
"22/10/2024, 23:22:01",91
"22/10/2024, 23:22:22",91
"22/10/2024, 23:22:07",91
"22/10/2024, 23:22:10",91
"22/10/2024, 23:22:13",91
"22/10/2024, 23:22:10",91
"22/10/2024, 23:22:19",91
"22/10/2024, 23:22:23",91
"22/10/2024, 23:22:26",91
"22/10/2024, 23:22:29",91
"22/10/2024, 23:22:31",91
"22/10/2024, 23:22:35",91
"22/10/2024, 23:22:38",91
"22/10/2024, 23:22:41",91
"22/10/2024, 23:22:44",91
"22/10/2024, 23:22:47",91
"22/10/2024, 23:22:50",91
"22/10/2024, 23:22:53",91
"22/10/2024, 23:22:56",91
"22/10/2024, 23:22:59",91
"22/10/2024, 23:23:10",91
"22/10/2024, 23:23:22",91
"22/10/2024, 23:23:08",91
"22/10/2024, 23:23:10",91
"22/10/2024, 23:23:14",91
"22/10/2024, 23:23:17",91
"22/10/2024, 23:23:20",91
"22/10/2024, 23:23:23",91
"22/10/2024, 23:23:26",91
"22/10/2024, 23:23:29",91
"22/10/2024, 23:23:32",91
"22/10/2024, 23:23:35",91
time,flowcount
"22/10/2024, 23:27:55",1
"22/10/2024, 23:27:58",89
"22/10/2024, 23:28:01",128
"22/10/2024, 23:28:22",188
"22/10/2024, 23:28:07",247
"22/10/2024, 23:28:10",307
"22/10/2024, 23:28:13",367
"22/10/2024, 23:28:10",426
"22/10/2024, 23:28:19",486
"22/10/2024, 23:28:22",546
"22/10/2024, 23:28:25",598
"22/10/2024, 23:28:28",830
"22/10/2024, 23:28:31",1127
"22/10/2024, 23:28:34",1423
"22/10/2024, 23:28:37",1610
"22/10/2024, 23:28:40",1808
"22/10/2024, 23:28:43",2006
"22/10/2024, 23:28:46",2203
"22/10/2024, 23:28:49",2401
"22/10/2024, 23:28:52",2599
"22/10/2024, 23:28:55",2695
"22/10/2024, 23:28:58",2843
"22/10/2024, 23:29:01",2992
"22/10/2024, 23:29:22",3102
time,flowcount
"22/10/2024, 23:30:48",9
"22/10/2024, 23:30:51",15
"22/10/2024, 23:30:54",19
"22/10/2024, 23:30:57",21
"22/10/2024, 23:31:00",25
"22/10/2024, 23:31:03",27
"22/10/2024, 23:31:06",35
"22/10/2024, 23:31:09",41
"22/10/2024, 23:31:12",47
"22/10/2024, 23:31:15",49
"22/10/2024, 23:31:18",55
"22/10/2024, 23:31:21",55
"22/10/2024, 23:31:24",61
"22/10/2024, 23:31:27",63
"22/10/2024, 23:31:30",71
"22/10/2024, 23:31:33",73
"22/10/2024, 23:31:36",79
"22/10/2024, 23:31:39",85
"22/10/2024, 23:31:42",87
"22/10/2024, 23:31:45",87
"22/10/2024, 23:31:48",87
"22/10/2024, 23:31:51",87
"22/10/2024, 23:31:54",91
"22/10/2024, 23:31:57",91
"22/10/2024, 23:32:00",91
"22/10/2024, 23:32:03",91
"22/10/2024, 23:32:06",91
"22/10/2024, 23:32:09",91
"22/10/2024, 23:32:12",91
"22/10/2024, 23:32:15",91
"22/10/2024, 23:32:18",91
"22/10/2024, 23:32:21",91
"22/10/2024, 23:32:24",91
"22/10/2024, 23:32:28",91
"22/10/2024, 23:32:30",91
"22/10/2024, 23:32:33",91
"22/10/2024, 23:32:36",91
"22/10/2024, 23:32:39",91
"22/10/2024, 23:32:42",91
"22/10/2024, 23:32:45",91
"22/10/2024, 23:32:48",91
"22/10/2024, 23:32:51",91
"22/10/2024, 23:32:55",91
"22/10/2024, 23:32:58",91
"22/10/2024, 23:33:01",91
"22/10/2024, 23:33:22",91
"22/10/2024, 23:33:07",91
"22/10/2024, 23:33:10",91
"22/10/2024, 23:33:13",91
"22/10/2024, 23:33:10",91
"22/10/2024, 23:33:19",91
"22/10/2024, 23:33:22",91
"22/10/2024, 23:33:25",91
"22/10/2024, 23:33:28",91
"22/10/2024, 23:33:31",91
"22/10/2024, 23:33:34",91
"22/10/2024, 23:33:37",91
"22/10/2024, 23:33:40",91
"22/10/2024, 23:33:43",91
"22/10/2024, 23:33:46",91
"22/10/2024, 23:33:49",91
"22/10/2024, 23:33:52",91
"22/10/2024, 23:33:55",91
"22/10/2024, 23:33:58",91
"22/10/2024, 23:34:01",91
"22/10/2024, 23:34:22",91
"22/10/2024, 23:34:07",91
"22/10/2024, 23:34:10",91
"22/10/2024, 23:34:13",91
"22/10/2024, 23:34:10",91
"22/10/2024, 23:34:19",91
